domain,page,document,size [KB],status_code
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/metadata/clean/archive_inventory/,https://documents.epfl.ch/groups/m/mm/mmc/www/Archive%20Inventory/MJF%20Video%20Reference%20Key.jpg,66.02,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/metadata/clean/archive_inventory/,https://documents.epfl.ch/groups/m/mm/mmc/www/Archive%20Inventory/Photo%20MJF%20Archive%20Tapes.jpg,156.006,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/metadata/clean/archive_inventory/,https://documents.epfl.ch/groups/m/mm/mmc/www/Archive%20Inventory/MJF%20Archive%20Inventory%20Audio%20Tapes.jpg,96.107,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/metadata/clean/archive_inventory/,https://documents.epfl.ch/groups/m/mm/mmc/www/Archive%20Inventory/MJF%20Archive%20Inventory%20Video%20Tapes.jpg,128.27100000000002,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/press/events/,https://documents.epfl.ch/groups/m/mm/mmc/www/events/MJF%202016/MJF%202016%20Caux.jpg,179.636,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/press/events/,https://documents.epfl.ch/groups/m/mm/mmc/www/events/MJF%202016/MJF%202016%20Arche%2011.jpg,195.19400000000002,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/press/events/,https://documents.epfl.ch/groups/m/mm/mmc/www/events/MJF%202016/MJF%202016%20Arche%2010.jpg,260.009,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/press/events/,https://documents.epfl.ch/groups/m/mm/mmc/www/events/MJF%202016/MJF%202016%20Arche%2009.jpg,201.812,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/press/events/,https://documents.epfl.ch/groups/m/mm/mmc/www/events/MJF%202016/MJF%202016%20Arche%2008.jpg,230.633,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/press/events/,https://documents.epfl.ch/groups/m/mm/mmc/www/events/MJF%202016/MJF%202016%20Arche%2007.jpg,223.178,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/press/events/,https://documents.epfl.ch/groups/m/mm/mmc/www/events/MJF%202016/MJF%202016%20Arche%2006.jpg,138.66,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/press/events/,https://documents.epfl.ch/groups/m/mm/mmc/www/events/MJF%202016/MJF%202016%20Arche%2005.jpg,223.397,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/press/events/,https://documents.epfl.ch/groups/m/mm/mmc/www/events/MJF%202016/MJF%202016%20Arche%2004.jpg,263.7,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/press/events/,https://documents.epfl.ch/groups/m/mm/mmc/www/events/MJF%202016/MJF%202016%20Arche%2003.jpg,171.361,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/press/events/,https://documents.epfl.ch/groups/m/mm/mmc/www/events/MJF%202016/MJF%202016%20Arche%2002.jpg,265.807,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/press/events/,https://documents.epfl.ch/groups/m/mm/mmc/www/events/MJF%202016/MJF%202016%20Arche%2001.jpg,199.63,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/press/events/,https://documents.epfl.ch/groups/m/mm/mmc/www/events/MJF%202015/MJF%202015%20Jukebox%2004.jpg,102.85300000000001,
http://metamedia.epfl.ch/,http://metamedia.epfl.ch/montreux_jazz_digital_project/press/events/,https://documents.epfl.ch/groups/m/mm/mmc/www/events/MJF%202015/MJF%202015%20Jukebox%2003.jpg,88.483,
