domain,page,document,size [KB],status_code
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/2017/All%20Events/YUVA%20Meet%20and%20Greet%202018.jpg,953.423,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/2017/All%20Events/9.%20YUVA%20Team%20Event.jpg,1551.993,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/2017/All%20Events/8.%2070%20Years%20of%20Switzerland%20India%20Friendship.png,4450.497,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/2017/All%20Events/7.%20Yuvaali.jpg,1461.295,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/2017/All%20Events/6.%20YUVA%20Meet%20and%20Greet%202017.jpg,703.241,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/2017/All%20Events/5.%20Independence%20Day.jpg,521.604,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/2017/All%20Events/4.%20Yoga%20Day.jpg,799.19,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/2017/All%20Events/3.%20Holi.jpg,1791.323,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/2017/All%20Events/2.%20IISc%20delegates%20meet.jpg,3135.527,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/2017/All%20Events/1.%20Semaine%20du%20Monde.jpg,3548.0260000000003,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/YUVA%20Events%20Picture%20Collage/Yuvaali.jpg,160.417,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/YUVA%20Events%20Picture%20Collage/Yuvaali%20Yuva%20core.jpg,211.869,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/YUVA%20Events%20Picture%20Collage/Yoga%20Workshop.jpg,157.953,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/YUVA%20Events%20Picture%20Collage/Vivapoly.jpg,221.514,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/YUVA%20Events%20Picture%20Collage/Swissnex.jpg,163.934,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/YUVA%20Events%20Picture%20Collage/Semaine%20du%20Monde.jpg,176.115,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/YUVA%20Events%20Picture%20Collage/Independence%20day.jpg,127.688,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/YUVA%20Events%20Picture%20Collage/Holi.jpg,318.938,
http://yuva.epfl.ch/,http://yuva.epfl.ch/events/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/YUVA%20Events%20Picture%20Collage/Holi%21.jpg,180.293,
http://yuva.epfl.ch/,http://yuva.epfl.ch/page-146358-en.html/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/2017/Yoga%20Workshop/17.jpg,2064.141,
http://yuva.epfl.ch/,http://yuva.epfl.ch/page-146358-en.html/,https://documents.epfl.ch/groups/y/yu/yuva-unit/public/2017/Yoga%20Workshop/16.jpg,2045.074,
